,Title_job,Job_link,Company_link,Address,Salary,date
112,Full stack Developers ,/it-jobs/full-stack-developers-nodejs-reactjs-fetch-technology-5815,/companies/fetch-technology,Ho Chi Minh,1000 - 2500 ,8/12/2021
116,Database Administrator ,/it-jobs/database-administrator-mysql-cloud-sql-shopee-5601,/companies/shopee,Ha Noi,1500,8/12/2021
118,Senior Fullstack Developer ,/it-jobs/sr-fullstack-developer-reactjs-nodejs-dfo-global-performance-commerce-3059,/companies/dfo-global-performance-commerce,Ho Chi Minh,1500 - 3000 ,8/12/2021
119,Magento Developer ,/it-jobs/magento-developer-1200-1800-cellphones-4809,/companies/cellphones,Da Nang,1200 - 1800 ,8/12/2021
121,Frontend developer ,/it-jobs/frontend-developer-vuejs-800-1200-cellphones-5240,/companies/cellphones,Ha Noi,800 - 1200 ,8/12/2021
122,Full-stack Wordpress Dev ,/it-jobs/full-stack-wordpress-dev-700-1000-cellphones-5424,/companies/cellphones,Ha Noi,700 - 1000 ,8/12/2021
123,Backend Developer ,/it-jobs/backend-developer-net-golang-2500-mecury-studio-1957,/companies/mecury-studio,Ho Chi Minh,1000 - 2500 ,8/12/2021
124,Senior Games Dev ,/it-jobs/senior-games-dev-unity-c-java-skylink-group-0923,/companies/skylink-group,Ho Chi Minh,1000 - 2000 ,8/12/2021
125,Automation Tester ,/it-jobs/3-automation-tester-up-to-1-500-usd-grapecity-4301,/companies/grapecity,Ha Noi,500 - 1500 ,8/12/2021
126, Java Developer ,/it-jobs/java-developer-simpson-strong-tie-vietnam-5340,/companies/simpson-strong-tie-vietnam,Ho Chi Minh,1000 - 1500 ,8/12/2021
131,Backend Dev ,/it-jobs/backend-dev-java-php-nodejs-1200-newwave-solutions-2807,/companies/newwave-solutions,Ha Noi,500 - 1200 ,8/12/2021
133,Technical Leader ,/it-jobs/technical-leader-javascript-upto-2500-cong-ty-co-phan-dayladau-5509,/companies/cong-ty-co-phan-dayladau,Ho Chi Minh,1500 - 2500 ,8/12/2021
134,Solution Architect - Up to $6000,/it-jobs/solution-architect-up-to-6000-propzy-5543,/companies/propzy,Ho Chi Minh,5000 - 6000 ,8/12/2021
136,Software Engineer ,/it-jobs/software-engineer-support-team-pizza-hut-digital-ventures-2249,/companies/pizza-hut-digital-ventures,Ha Noi,500 - 1000 ,8/12/2021
137,Senior Ruby on Rails Dev ,/it-jobs/senior-ruby-on-rails-dev-ruby-cloud-vector-group-0941,/companies/vector-group,Ho Chi Minh,1500 - 3000 ,8/12/2021
141,Mobile Flutter Developer,/it-jobs/flutter-developer-nitrotech-asia-inc-0457,/companies/nitrotech-asia-inc,Ho Chi Minh,600 - 1000 ,8/12/2021
142,60 Mid/Senior Java Dev ,/it-jobs/60-mid-sr-java-dev-spring-spring-boot-ati-jsc-5411,/companies/ati-jsc,Ha Noi,1000 - 2000 ,8/12/2021
143,Senior Front-end ,/it-jobs/senior-front-end-vuejs-javascript-css-digilo-2451,/companies/digilo,Ha Noi,700 - 1500 ,8/12/2021
145,Backend Engineer ,/it-jobs/backend-engineer-nodejs-typescript-baemin-vietnam-woowa-bros-3756,/companies/baemin-vietnam-woowa-bros,Ho Chi Minh,2000 - 4000 ,8/12/2021
150,"Manual Tester - Up to $1,500",/it-jobs/manual-tester-up-to-1-500-lg-vehicle-component-solutions-development-center-vietnam-lg-vs-dcv-0538,/companies/lg-vehicle-component-solutions-development-center-vietnam-lg-vs-dcv,Ho Chi Minh,600 - 1500 ,8/12/2021
154,Back-end Dev ,/it-jobs/back-end-dev-ruby-on-rails-php-golang-1pac-viet-nam-3745,/companies/1pac-viet-nam,Ho Chi Minh, 1800  gross,8/12/2021
155,Android Developer ,/it-jobs/android-engineer-java-kotlin-1200-humax-vietnam-0903,/companies/humax-vietnam,Ho Chi Minh,700 - 1200 ,8/12/2021
156,Lead/Senior .Net Web Engineers,/it-jobs/lead-senior-net-web-engineers-nvg-technology-0929,/companies/nvg-technology,Ho Chi Minh,1600 - 2500 ,8/12/2021
159,DevOps Engineer ,/it-jobs/devops-engineer-all-levels-up-to-2k-tps-software-2459,/companies/tps-software,Ha Noi,2000,8/12/2021
161,Product Owner ,/it-jobs/product-owner-senior-lead-level-vinid-a-member-of-one-mount-group-4035,/companies/vinid-a-member-of-one-mount-group,Ha Noi,1000 - 3000 ,8/12/2021
163,Web Engineer ,/it-jobs/jr-web-engineer-vuejs-nodejs-graphql-vitalify-asia-4820,/companies/vitalify-asia,Ho Chi Minh,600 - 1200 ,8/12/2021
165,Senior .NET Developer,/it-jobs/senior-net-developer-dirox-4616,/companies/dirox,Ho Chi Minh,2000,8/12/2021
166,Microsoft AX Developer,/it-jobs/microsoft-ax-developer-central-retail-5335,/companies/central-retail,Ha Noi,1000 - 1500 ,8/12/2021
167,Quality Control ,/it-jobs/quality-control-qa-qc-agile-dirox-5613,/companies/dirox,Ho Chi Minh,1100,8/12/2021
171,Data Engineer ,/it-jobs/data-engineer-python-java-database-velacorp-0306,/companies/velacorp,Ho Chi Minh,1500,8/12/2021
172,Senior Fullstack Developer ,/it-jobs/sr-fullstack-developer-java-reactjs-simpson-strong-tie-vietnam-5449,/companies/simpson-strong-tie-vietnam,Ho Chi Minh,1500 - 2200 ,8/12/2021
175,Lập Trình Viên NodeJS ,/it-jobs/lap-trinh-vien-nodejs-luong-1000-2000-valofe-2022,/companies/valofe,Ho Chi Minh,800 - 2000 ,8/12/2021
177,"Senior UI/UX Designer, Zalo Cloud",/it-jobs/senior-ui-ux-designer-zalo-cloud-zalo-0945,/companies/zalo,Ha Noi,1000 - 3000 ,8/12/2021
178,Mobile Dev ,/it-jobs/mobile-dev-react-native-ios-android-baemin-vietnam-woowa-bros-2644,/companies/baemin-vietnam-woowa-bros,Ho Chi Minh,2500 - 4000 ,8/12/2021
179,iOS Developer ,/it-jobs/ios-developer-objective-c-swift-saigon-technology-solutions-0443,/companies/saigon-technology-solutions,Ho Chi Minh,2000,8/12/2021
183,DevOps Engineer,/it-jobs/devops-engineer-nakivo-0432,/companies/nakivo,Ho Chi Minh,2300 - 2800 ,8/12/2021
186,Unity Developer ,/it-jobs/unity-developer-phong-van-online-valofe-0608,/companies/valofe,Ho Chi Minh,800 - 2000 ,8/12/2021
188,Full Stack Developer ,/it-jobs/full-stack-developer-c-net-reactjs-altsource-4556,/companies/altsource,Ha Noi,1200 - 1800 ,8/12/2021
190,"UX Designer – .NET Core 3.1, Angular",/it-jobs/ux-designer-net-core-3-1-angular-matcha-forms-3702,/companies/matcha-forms,Ho Chi Minh,500 - 1300 ,8/12/2021
191,LẬP TRÌNH VIÊN C# ,/it-jobs/lap-trinh-vien-c-luong-upto-2000-valofe-5155,/companies/valofe,Ho Chi Minh,800 - 2000 ,8/12/2021
